算法标注的字图片统计如下：
range_0_85_to_0_90：表示accuracy在[0.85,0.90)区间的个数
range_0_90_to_0_95：表示accuracy在[0.90,0.95)区间的个数
range_0_95_to_1：表示accuracy在[0.95,1]区间的个数

 char  | range_0_85_to_0_90 | range_0_90_to_0_95 | range_0_95_to_1 
  孤   |     158 |         5
  返   |     157 |         0
  漸   |     157 |         0
  育   |     157 |       279
  被   |     157 |       802
  兒   |     157 |         0
  驚   |     156 |         0
  丈   |     156 |         0
  太   |     156 |       747
  堪   |     156 |         0
  牽   |     156 |         4
  北   |     156 |         0
  源   |     155 |         0
  棄   |     155 |      1290
  瑚   |     155 |         0
  后   |     154 |         0
  印   |     154 |         0
  理   |     154 |         0
      |     154 |      1118
  鎖   |     154 |         0
  疫   |     154 |         0
  喪   |     154 |         0
  坑   |     153 |         0
  陰   |     152 |         0
  燋   |     152 |         0
  犯   |     152 |       729
  東   |     152 |       893
  狼   |     152 |         0
  務   |     151 |         0
  晉   |     151 |         1
  揚   |     151 |         0
  蓋   |     150 |      1551
  同   |     150 |         0
  帝   |     150 |         0
  勢   |     150 |       790
  渚   |     150 |         0
  偈   |     149 |      1990
  刀   |     148 |       383
  將   |     148 |      1349
  雅   |     148 |        23
  羊   |     148 |         0
  掃   |     148 |         0
  靈   |     148 |         0
  制   |     148 |         0
  湏   |     148 |         0
  顚   |     148 |      1185
  飮   |     148 |       781
  幢   |     148 |       711
  財   |     147 |         0
  紹   |     147 |         0
  頭   |     147 |      1682
  瓦   |     147 |         0
  新   |     147 |         0
  形   |     145 |      2139
  契   |     145 |         0
  醯   |     145 |         0
  鬱   |     145 |         0
  曼   |     145 |       483
  雪   |     145 |        43
  弟   |     144 |         0
  服   |     144 |      1506
  彌   |     144 |      2488
  妃   |     144 |         0
  恐   |     144 |       724
  屍   |     144 |         0
  喩   |     143 |         0
  飢   |     143 |         0
  目   |     143 |      1490
  末   |     143 |       723
  蠲   |     143 |         0
  灑   |     143 |         6
  㝵   |     142 |      2651
  久   |     142 |         0
  茶   |     142 |       164
  矣   |     142 |       485
  付   |     142 |         0
  瑙   |     141 |         0
  任   |     141 |       331
  臺   |     140 |       102
  漂   |     140 |         0
  盈   |     139 |         0
  鞞   |     139 |         0
  挍   |     139 |       201
  屋   |     139 |         0
  羂   |     139 |         1
  民   |     139 |         0
  父   |     139 |      1523
  敢   |     138 |       170
  雲   |     138 |         0
  蔑   |     138 |         0
  藥   |     138 |      1720
  娑   |     138 |         0
  晨   |     138 |         0
  曾   |     138 |      1075
  堅   |     137 |      1435
  永   |     137 |      1027
  姓   |     137 |       814
  豎   |     137 |        47
  禪   |     137 |      1642
  諍   |     137 |       987
  埵   |     137 |         0
  指   |     136 |         0
  臨   |     136 |       129
  射   |     136 |         0
  錢   |     136 |         0
  循   |     136 |         0
  焚   |     135 |         0
  覲   |     135 |         0
  壇   |     134 |         0
  演   |     134 |         0
  朋   |     134 |         0
  免   |     134 |         0
  張   |     133 |         0
  渴   |     133 |       451
  饉   |     133 |         0
  珠   |     132 |       774
  滯   |     132 |         0
  拏   |     132 |         0
  惓   |     131 |        26
  結   |     131 |         0
  腳   |     131 |         0
  琉   |     131 |         0
  燒   |     131 |       980
  歸   |     131 |      1861
  衛   |     131 |       205
  滋   |     130 |        17
  頗   |     130 |         0
  禍   |     130 |         0
  要   |     130 |      1100
  醉   |     130 |         0
  篤   |     130 |         0
  猛   |     130 |      1370
  仗   |     130 |         0
  幡   |     130 |       691
  饒   |     129 |       491
  輔   |     129 |         0
  追   |     129 |        17
  膳   |     129 |         0
  叉   |     129 |         0
  純   |     129 |       276
  表   |     129 |         0
  元   |     129 |        37
  叢   |     129 |        22
  致   |     129 |      1724
  朽   |     129 |         0
  頓   |     129 |         0
  戀   |     129 |        83
  擾   |     129 |         0
  墮   |     128 |      1329
  榮   |     128 |         4
  匱   |     128 |         0
  麤   |     128 |         0
  熾   |     128 |         0
  路   |     128 |         0
  邑   |     128 |       353
  舊   |     128 |         0
  啼   |     128 |         0
  先   |     127 |         0
  冑   |     127 |       275
  倫   |     127 |       191
  醜   |     127 |        33
  每   |     127 |         0
  驅   |     127 |         0
  踰   |     127 |         0
  亂   |     127 |         0
  鬘   |     127 |       597
  誰   |     127 |       607
  審   |     127 |         0
  飾   |     126 |         0
  貝   |     126 |         0
  積   |     126 |       944
  輕   |     126 |       948
  徑   |     126 |         0
  風   |     126 |      3437
  莎   |     126 |        25
  祠   |     126 |         0
  倍   |     126 |       841
  偏   |     126 |         0
  橫   |     126 |         0
  柱   |     126 |         0
  拔   |     126 |         0
  圍   |     126 |       581
  强   |     126 |       307
  容   |     126 |         0
  仙   |     126 |       764
  側   |     126 |         0
  茲   |     125 |         0
  羯   |     125 |         0
  濟   |     125 |       481
  惠   |     125 |       287
  物   |     125 |         0
  牟   |     125 |         0
  域   |     125 |         0
  慼   |     125 |         0
  痛   |     125 |       602
  犍   |     125 |         0
  治   |     125 |         0
  整   |     125 |        24
  品   |     125 |      1809
  俗   |     124 |         0
  紺   |     124 |        15
  留   |     124 |       361
  勒   |     124 |       945
  頻   |     124 |       160
  欣   |     124 |         0
  遂   |     124 |       157
  沒   |     124 |         0
  端   |     124 |         0
  璖   |     124 |         0
  保   |     124 |         0
  乎   |     124 |      1138
  器   |     124 |       979
  囑   |     124 |       112
  遷   |     124 |         0
  葉   |     124 |      1991
  睹   |     124 |         0
  損   |     123 |         0
  罵   |     123 |       180
  侍   |     123 |         0
  闓   |     123 |        91
  諛   |     123 |         0
  星   |     123 |       315
  颰   |     123 |         0
  奈   |     123 |         0
  君   |     123 |         0
  咨   |     123 |         0
  會   |     123 |      1091
  塗   |     122 |       610
  唐   |     122 |        58
  繫   |     122 |       525
  邏   |     122 |         0
  瑞   |     122 |       102
  逆   |     122 |       433
  賢   |     122 |      2006
  必   |     122 |         0
  賣   |     122 |         0
  慢   |     122 |         0
  悋   |     122 |       104
  窮   |     122 |       907
  遺   |     122 |         0
  置   |     122 |       638
  河   |     121 |         0
  御   |     121 |       322
  掌   |     121 |      1073
  疑   |     121 |      1107
  竝   |     121 |         0
  膩   |     121 |         0
  露   |     121 |       525
  災   |     121 |         0
  墜   |     121 |         0
  跋   |     121 |         0
  奇   |     120 |       511
  避   |     120 |         0
  富   |     120 |       667
  部   |     120 |         0
  鳥   |     120 |       372
  競   |     119 |         8
  妻   |     119 |         0
  臥   |     119 |       416
  冷   |     119 |         0
  僕   |     119 |        19
  破   |     119 |         0
  夜   |     119 |         0
  臣   |     119 |       713
  劇   |     119 |         0
  辯   |     119 |         0
  臂   |     118 |       162
  凡   |     118 |         0
  憐   |     118 |       180
  室   |     118 |       633
  壯   |     118 |         0
  寄   |     118 |         0
  園   |     118 |       414
  戴   |     118 |         0
  放   |     118 |      1796
  守   |     117 |         0
  藍   |     117 |         0
  書   |     117 |      1403
  減   |     117 |      1673
  樹   |     117 |      2845
  唱   |     117 |       149
  池   |     117 |       506
  請   |     117 |      1083
  計   |     116 |         0
  斫   |     116 |         0
  希   |     116 |       994
  闍   |     116 |       581
  爛   |     116 |         0
  梁   |     116 |         0
  害   |     116 |         0
  笑   |     116 |         0
  宅   |     116 |         0
  吾   |     116 |      1795
  稻   |     116 |         0
  氣   |     116 |       743
  嬰   |     116 |         0
  遊   |     116 |      1523
  優   |     116 |      1170
  項   |     116 |         0
  雨   |     116 |         0
  志   |     115 |         0
  誑   |     115 |       453
  穀   |     115 |        94
  躬   |     115 |         0
  隸   |     115 |         0
  旨   |     115 |        40
  餓   |     115 |       331
  遮   |     115 |       677
  到   |     115 |         0
  防   |     114 |         0
  頒   |     114 |         0
  樓   |     114 |      1064
  瘦   |     114 |        14
  甘   |     114 |         0
  抱   |     114 |         0
  惑   |     114 |         0
  沫   |     113 |         0
  覆   |     113 |       393
  馬   |     113 |         0
  痒   |     113 |       293
  幽   |     113 |         0
  召   |     113 |         0
  迎   |     113 |         0
  蒙   |     113 |       169
  周   |     113 |       708
  厚   |     112 |        45
  夢   |     112 |         0
  暗   |     112 |        24
  懈   |     112 |       748
  米   |     112 |         0
  溺   |     112 |         0
  坊   |     111 |         0
  懷   |     111 |       617
  貫   |     111 |         0
  芬   |     111 |         0
  欄   |     111 |         0
  豈   |     111 |       500
  惜   |     111 |       315
  眷   |     111 |       683
  愍   |     110 |       774
  登   |     110 |         0
  送   |     110 |         0
  坻   |     110 |         0
  罰   |     110 |         0
  毘   |     110 |       939
  紅   |     110 |         0
  鄰   |     110 |         8
  潔   |     109 |       144
  稽   |     109 |       243
  更   |     109 |         0
  諂   |     109 |       196
  運   |     109 |         0
  仰   |     109 |       471
  辛   |     109 |         0
  似   |     109 |       443
  里   |     109 |         0
  賜   |     109 |         0
  機   |     109 |         0
  詳   |     108 |         0
  蔗   |     108 |         0
  煙   |     108 |         0
  障   |     108 |       963
  採   |     108 |         0
  涕   |     108 |        16
  左   |     108 |       245
  石   |     108 |       241
  薰   |     108 |         0
  澡   |     108 |         0
  期   |     108 |         0
  全   |     108 |         0
  烏   |     108 |         0
  乾   |     107 |       797
  折   |     107 |         0
  息   |     107 |       630
  燈   |     107 |         0
  族   |     107 |         0
  展   |     107 |         0
  郡   |     106 |         0
  毒   |     106 |      1093
  雀   |     106 |         0
  懼   |     106 |       308
  敗   |     106 |         0
  貧   |     106 |         0
  孫   |     106 |         0
  狗   |     105 |         0
  厄   |     105 |         0
  麥   |     105 |         0
  聚   |     105 |      1615
  敷   |     105 |         0
  竊   |     105 |         0
  履   |     105 |         0
  耗   |     105 |         0
  婦   |     105 |        36
  肯   |     105 |         0
  灰   |     105 |         0
  賴   |     105 |         0
  衢   |     105 |         0
  胎   |     105 |       285
  呼   |     104 |       268
  史   |     104 |         0
  遶   |     104 |         0
  班   |     104 |         0
  髓   |     104 |        21
  試   |     104 |         0
  腦   |     104 |         0
  荷   |     104 |         0
  恚   |     104 |         0
  牛   |     104 |       432
  繩   |     104 |         0
  泡   |     104 |         0
  荒   |     104 |         0
  胸   |     103 |         0
  箭   |     103 |       152
  牀   |     103 |       332
  闕   |     103 |         0
  楚   |     103 |         0
  獄   |     103 |         0
  官   |     103 |         0
  貨   |     103 |         0
  谷   |     103 |         0
  莖   |     102 |       150
  拜   |     102 |       285
  陸   |     102 |         0
  繒   |     102 |       193
  貌   |     102 |       228
  垂   |     102 |       109
  沓   |     102 |         0
  洗   |     102 |       169
  楯   |     102 |         0
  橋   |     102 |         0
  揭   |     102 |         0
  睒   |     102 |         0
  脅   |     101 |        16
  閱   |     101 |         0
  逮   |     101 |       966
  螺   |     101 |         0
  悔   |     101 |         0
  高   |     101 |         0
  庶   |     101 |       120
  銅   |     101 |         0
  檀   |     101 |      1227
  哭   |     100 |         0
  謗   |     100 |       500
  酥   |     100 |         0
  險   |     100 |        86
  擲   |     100 |        12
  乳   |     100 |         0
  伴   |     100 |        81
  移   |     100 |         0
  奴   |     100 |        82
  祐   |     100 |       100
  打   |     100 |         0
  弘   |     100 |       271
  誘   |     100 |         0
  纏   |     100 |       269
  膝   |     100 |       278
  捉   |     100 |         9
  嫌   |     100 |        22
  婢   |     100 |        51
  睡   |     100 |        78
  鮮   |     100 |       114
  卿   |      99 |       138
  底   |      99 |         0
  縱   |      99 |       168
  湯   |      99 |        35
  累   |      99 |       197
  趺   |      99 |         0
  曇   |      99 |       492
  猗   |      99 |        87
  牆   |      99 |        37
  怨   |      98 |         0
  撗   |      98 |        48
  靑   |      98 |       196
  私   |      98 |         0
  狂   |      98 |         0
  呰   |      98 |        25
  鬪   |      98 |       222
  舞   |      98 |         0
  銀   |      98 |       167
  毫   |      98 |        14
  嘗   |      98 |        27
  劣   |      98 |       427
  雙   |      98 |        49
  建   |      98 |       519
  骨   |      98 |       380
  秋   |      98 |         0
  投   |      98 |       212
  獸   |      98 |       150
  略   |      98 |       471
  訖   |      98 |        41
  豫   |      98 |         0
  惶   |      98 |         0
  肩   |      98 |       213
  盛   |      97 |         0
  奪   |      97 |         0
  收   |      97 |         0
  珂   |      97 |         0
  炬   |      97 |         0
  泉   |      97 |         0
  酒   |      97 |        51
  恥   |      97 |         0
  咎   |      97 |        48
  領   |      97 |         0
  跏   |      97 |         0
  逢   |      97 |         0
  悅   |      97 |         0
  列   |      97 |        51
  省   |      97 |         0
  索   |      97 |         0
  談   |      97 |         0
  截   |      97 |        65
  奢   |      97 |       244
  伎   |      97 |       622
  含   |      97 |         0
  蘇   |      97 |       232
  珞   |      96 |       633
  續   |      96 |       164
  煖   |      96 |         0
  鷲   |      96 |         0
  林   |      96 |      1146
  嘆   |      96 |         0
  浴   |      96 |       263
  庫   |      96 |         0
  渧   |      96 |         0
  曲   |      96 |       179
  承   |      96 |         0
  濕   |      96 |         9
  晝   |      96 |       376
  軍   |      96 |       370
  快   |      96 |         0
  衰   |      96 |       146
  娛   |      96 |       275
  旬   |      96 |       645
  恩   |      96 |         0
  陋   |      96 |         0
  閻   |      96 |       701
  腹   |      96 |         0
  植   |      96 |        42
  髮   |      96 |         0
  瓔   |      96 |       718
  侶   |      96 |         0
  交   |      96 |         0
  連   |      95 |         0
  醫   |      95 |       283
  詠   |      95 |         0
  闇   |      95 |       641
  限   |      95 |         0
  江   |      95 |         0
  誠   |      95 |       287
  懸   |      95 |        42
  降   |      95 |         0
  固   |      95 |         0
  泣   |      95 |        76
  注   |      95 |         0
  鈍   |      95 |       150
  枯   |      95 |        86
  凶   |      95 |         0
  鴦   |      95 |         0
  助   |      95 |         0
  短   |      95 |       351
  緖   |      95 |         0
  瑕   |      95 |       124
  澄   |      95 |         0
  賊   |      95 |       424
  甁   |      95 |        67
  吼   |      94 |         0
  陵   |      94 |        49
  頸   |      94 |         0
  網   |      94 |       844
  慚   |      94 |       357
  停   |      94 |         0
  健   |      94 |       296
  遇   |      94 |         0
  詐   |      94 |        70
  蹔   |      94 |         0
  懺   |      94 |       165
  幾   |      94 |        86
  閉   |      94 |         0
  掉   |      94 |         0
  主   |      94 |       985
  姝   |      94 |         0
  猴   |      94 |         0
  古   |      94 |       124
  皮   |      94 |         0
  糧   |      94 |       150
  走   |      94 |       135
  兵   |      94 |         0
  適   |      94 |       465
  割   |      94 |       104
  敵   |      93 |       207
  潤   |      93 |       231
  塞   |      93 |       410
  徐   |      93 |         0
  備   |      93 |       315
  珍   |      93 |       823
  泊   |      93 |         0
  杵   |      93 |         0
  畫   |      93 |        33
  萌   |      93 |        41
  怪   |      93 |        78
  跪   |      93 |         0
  彈   |      93 |         0
  咽   |      93 |         0
  蟲   |      93 |         0
  導   |      93 |       556
  慕   |      93 |       237
  井   |      92 |         0
  直   |      92 |       263
  澹   |      92 |         0
  玉   |      92 |         0
  宜   |      92 |         0
  帀   |      92 |         3
  謝   |      92 |         0
  越   |      92 |         0
  淺   |      92 |         0
  造   |      92 |      1801
  栴   |      92 |       406
  村   |      92 |         0
  車   |      92 |       271
  譯   |      92 |       679
  浮   |      92 |         0
  階   |      92 |         0
  甲   |      92 |       368
  睺   |      92 |       136
  熏   |      92 |       164
  窟   |      92 |        69
  昔   |      92 |       598
  寺   |      92 |        60
  傷   |      92 |       291
  誓   |      92 |       240
  芭   |      92 |         0
  擧   |      91 |       633
  美   |      91 |         0
  柰   |      91 |         0
  田   |      91 |       561
  怠   |      91 |       555
  啓   |      91 |       159
  乞   |      91 |         0
  卻   |      91 |         0
  感   |      91 |         0
  旋   |      91 |       277
  噉   |      91 |       105
  角   |      91 |       104
  鐵   |      91 |       181
  熱   |      91 |         0
  暴   |      91 |       146
  莫   |      91 |      1420
  資   |      91 |       822
  卒   |      91 |         0
  儀   |      91 |         0
  弄   |      91 |         0
  芥   |      91 |         0
  戰   |      91 |         0
  改   |      90 |         0
  嶮   |      90 |         0
  悟   |      90 |       613
  野   |      90 |       384
  缺   |      90 |       251
  憶   |      90 |       300
  峯   |      90 |         0
  錯   |      90 |        58
  梨   |      90 |         0
  燃   |      90 |         0
  象   |      90 |         0
  房   |      90 |        72
  稠   |      90 |         0
  筋   |      90 |         0
  響   |      90 |       194
  血   |      90 |         0
  獷   |      90 |         0
  臾   |      89 |       178
  盧   |      89 |       152
  盜   |      89 |       157
  急   |      89 |         0
  縣   |      89 |        12
  呵   |      89 |         0
  嗟   |      89 |        30
  堵   |      89 |         0
  眠   |      89 |       182
  寒   |      89 |         0
  喚   |      89 |         0
  拘   |      89 |         0
  鉤   |      89 |        63
  殃   |      89 |        63
  龜   |      89 |         0
  畜   |      89 |       282
  藝   |      89 |         0
  鄙   |      89 |         0
  細   |      89 |       726
  誨   |      89 |        77
  妓   |      89 |         0
  節   |      89 |         0
  場   |      88 |       681
  蛇   |      88 |       250
  陀   |      88 |       136
  于   |      88 |         0
  川   |      88 |         0
  歌   |      88 |       143
  眴   |      88 |         0
  閑   |      88 |         0
  殿   |      88 |       763
  暉   |      88 |         0
  充   |      88 |       752
  震   |      88 |         0
  違   |      88 |       381
  算   |      88 |         0
  妹   |      88 |         0
  序   |      88 |         0
  辭   |      88 |       462
  傾   |      88 |        62
  廢   |      88 |       191
  落   |      88 |         0
  吹   |      87 |       282
  黨   |      87 |         0
  濁   |      87 |       564
  賈   |      87 |         0
  窣   |      87 |         0
  旦   |      87 |         0
  律   |      87 |       230
  馱   |      87 |         0
  鳩   |      87 |         0
  視   |      87 |         0
  岸   |      87 |       877
  卑   |      87 |        40
  逸   |      87 |       864
  曠   |      87 |        82
  獵   |      87 |         0
  臍   |      87 |         0
  勞   |      87 |       552
  値   |      86 |       472
  懶   |      86 |         0
  奏   |      86 |         0
  緊   |      86 |       515
  洹   |      86 |       684
  殷   |      86 |         0
  關   |      86 |         0
  躄   |      86 |         0
  眉   |      86 |        73
  齎   |      86 |         0
  婇   |      86 |       133
  溥   |      86 |        24
  患   |      86 |       390
  策   |      86 |         0
  絡   |      86 |         0
  軟   |      86 |       413
  位   |      86 |         0
  禽   |      86 |        34
  陂   |      86 |         0
  洞   |      85 |         0
  貴   |      85 |       115
  搖   |      85 |        69
  才   |      85 |       781
  木   |      85 |         0
  沮   |      85 |         0
  銷   |      85 |         0
  遙   |      85 |        89
  殖   |      85 |        65
  愧   |      85 |       328
  幼   |      85 |         0
  譏   |      85 |        57
  靡   |      85 |         0
  干   |      85 |       619
  報   |      85 |      2670
  耆   |      84 |        78
  僮   |      84 |         0
  揵   |      84 |       110
  竭   |      84 |       681
  鞭   |      84 |         0
  袒   |      84 |        72
  口   |      84 |      1211
  爪   |      84 |         0
  偸   |      84 |         0
  弱   |      84 |        76
  輩   |      84 |       511
  枝   |      84 |         0
  柔   |      84 |       694
  赤   |      83 |         0
  逐   |      83 |        79
  代   |      83 |        95
  嫉   |      83 |       170
  齊   |      83 |         0
  典   |      83 |       594
  覓   |      83 |         0
  茂   |      83 |        53
  莂   |      82 |         0
  宰   |      82 |         0
  市   |      82 |         0
  點   |      82 |         0
  灌   |      82 |       144
  顏   |      82 |       260
  繁   |      82 |         0
  傳   |      82 |        37
  救   |      82 |         0
  納   |      82 |         0
  咸   |      82 |         0
  棘   |      82 |         0
  瞿   |      81 |       688
  隆   |      81 |         0
  嗅   |      81 |         0
  危   |      81 |         0
  匿   |      81 |        34
  簡   |      81 |         0
  哀   |      81 |       503
  群   |      81 |       107
  鉢   |      80 |         0
  穿   |      80 |         0
  旃   |      80 |       165
  坦   |      80 |         0
  塚   |      80 |         0
  擣   |      80 |         0
  濡   |      80 |        64
  鼓   |      79 |       117
  互   |      79 |       111
  壁   |      79 |        57
  讖   |      79 |         0
  寐   |      79 |         0
  滑   |      79 |         0
  醍   |      79 |         0
  怙   |      79 |         0
  豐   |      79 |        41
  醐   |      79 |         0
  燭   |      79 |         0
  頌   |      79 |       784
  遲   |      79 |         0
  讎   |      79 |         0
  謨   |      79 |         0
  竺   |      79 |        68
  欺   |      78 |       130
  虫   |      78 |       149
  翳   |      78 |        42
  怡   |      78 |         0
  伐   |      78 |         0
  逼   |      78 |       140
  倦   |      78 |         0
  琴   |      78 |         0
  寬   |      78 |         0
  閣   |      78 |       111
  兔   |      78 |         0
  春   |      77 |         0
  肘   |      77 |         0
  奧   |      77 |         0
  飬   |      77 |         0
  癡   |      77 |      1036
  吐   |      77 |         0
  幷   |      77 |       489
  擁   |      77 |        78
  辟   |      77 |       331
  寤   |      77 |        18
  隙   |      77 |         0
  怕   |      77 |         0
  怯   |      77 |         0
  荅   |      77 |         0
  己   |      76 |         0
  弓   |      76 |         0
  歲   |      76 |      1027
  彩   |      76 |         0
  裂   |      76 |         0
  妾   |      76 |         0
  英   |      76 |         0
  羞   |      76 |         0
  孕   |      76 |         0
  年   |      76 |         0
  專   |      75 |       189
  諷   |      75 |       232
  脈   |      75 |         0
  哉   |      75 |       926
  肅   |      75 |         0
  蕉   |      75 |         0
  獼   |      75 |         0
  負   |      75 |        19
  蔽   |      75 |       162
  講   |      75 |       117
  塔   |      75 |         0
  終   |      75 |         0
  稟   |      75 |         0
  式   |      75 |         0
  映   |      75 |        74
  妒   |      75 |         0
  惰   |      74 |         0
  蔭   |      74 |         0
  狐   |      74 |       141
  碎   |      74 |        56
  興   |      73 |         0
  詔   |      73 |       217
  譽   |      73 |       158
  宴   |      73 |         0
  闥   |      73 |       338
  巖   |      73 |         0
  巷   |      73 |         0
  溢   |      73 |         0
  瞻   |      73 |        31
  矯   |      73 |         0
  羼   |      73 |       241
  瘂   |      73 |         0
  扶   |      73 |         0
  膿   |      73 |         0
  影   |      73 |         0
  苑   |      73 |         0
  剃   |      73 |        86
  魚   |      73 |        21
  療   |      73 |         0
  萎   |      72 |         0
  雞   |      72 |         0
  錄   |      72 |         0
  伸   |      72 |         0
  澍   |      72 |         0
  條   |      72 |         0
  始   |      72 |         0
  環   |      72 |         0
  蚊   |      72 |         0
  桓   |      72 |         0
  帶   |      72 |         0
  寞   |      72 |         0
  望   |      71 |       407
  騰   |      71 |         0
  珀   |      71 |         0
  迭   |      71 |         0
  冥   |      71 |         0
  堂   |      71 |       150
  默   |      71 |       126
  棺   |      70 |         0
  遭   |      70 |       153
  澤   |      70 |       285
  段   |      70 |         0
  裟   |      70 |       161
  詞   |      70 |         0
  齋   |      70 |        42
  翅   |      70 |         0
  困   |      70 |        58
  牙   |      70 |         0
  礫   |      70 |         0
  㩲   |      70 |        75
  糞   |      70 |        27
  胞   |      70 |         0
  巨   |      70 |        50
  蠕   |      70 |         3
  荼   |      70 |         0
  招   |      70 |         0
  乏   |      70 |       289
  迹   |      70 |       466
  胡   |      70 |         0
  氏   |      70 |       200
  巍   |      70 |       462
  宗   |      70 |         0
  兄   |      70 |         0
  崖   |      70 |         0
  祥   |      70 |        98
  某   |      70 |         0
  術   |      70 |         0
  股   |      70 |         0
  振   |      70 |         0
  馳   |      70 |       135
  兼   |      70 |         0
  虧   |      69 |         0
  佉   |      69 |         0
  閡   |      69 |         0
  雷   |      69 |        35
  賤   |      69 |         0
  憙   |      69 |        28
  披   |      69 |         0
  吠   |      69 |         0
  夏   |      69 |         5
  芽   |      69 |         0
  推   |      69 |        54
  黎   |      69 |         0
  羸   |      69 |       101
  綺   |      69 |        96
  婁   |      69 |        48
  價   |      69 |        25
  反   |      69 |       476
  着   |      69 |         0
  伊   |      69 |         0
  渡   |      68 |         0
  赫   |      68 |         0
  袈   |      68 |       187
  載   |      68 |        51
  筭   |      68 |        42
  擊   |      68 |         0
  暫   |      68 |        47
  僉   |      68 |         0
  帳   |      68 |         0
  黑   |      68 |       422
  刃   |      68 |         0
  臭   |      68 |       200
  飽   |      68 |         0
  薪   |      68 |         0
  悕   |      68 |       195
  溫   |      68 |         0
  恣   |      68 |         0
  牢   |      68 |       215
  奔   |      68 |         0
  紫   |      68 |       169
  膚   |      68 |         0
  姟   |      68 |       112
  雄   |      68 |        40
  淚   |      68 |       139
  禁   |      68 |       508
  絕   |      68 |       703
  徹   |      68 |         0
  涼   |      68 |       189
  毛   |      68 |         0
  沈   |      67 |        83
  陣   |      67 |         0
  嗚   |      67 |         0
  徒   |      67 |         0
  封   |      67 |         0
  厭   |      67 |      1304
  愈   |      67 |       132
  怒   |      67 |         0
  侵   |      67 |        88
  慇   |      67 |        58
  慰   |      67 |         0
  黠   |      67 |        23
  背   |      67 |       115
  恨   |      67 |       156
  疏   |      67 |         0
  唾   |      67 |         0
  夂   |      67 |         0
  齒   |      67 |       115
  原   |      67 |         0
  苗   |      67 |         0
  權   |      67 |       168
  申   |      67 |       165
  驢   |      67 |         0
  戶   |      67 |         0
  咤   |      67 |       300
  捶   |      67 |         0
  訟   |      66 |       219
  稼   |      66 |         0
  夷   |      66 |       438
  罣   |      66 |       259
  摠   |      66 |       563
  託   |      66 |         0
  郭   |      66 |         0
  穢   |      66 |       890
  泥   |      66 |       946
  崇   |      66 |         0
  寧   |      66 |       559
  統   |      66 |         0
  祚   |      66 |         0
  栽   |      66 |         0
  扇   |      65 |         0
  曜   |      65 |       274
  蹈   |      65 |         0
  接   |      65 |        40
  汁   |      65 |         0
  裏   |      65 |         0
  輒   |      65 |        35
  閦   |      65 |       202
  淵   |      65 |         0
  產   |      65 |        45
  斗   |      65 |         0
  乖   |      65 |         0
  攀   |      64 |        66
  炎   |      64 |       153
  休   |      64 |         0
  街   |      64 |         0
  聰   |      64 |         0
  尾   |      64 |         0
  菴   |      64 |         0
  嬈   |      64 |        40
  稍   |      64 |        46
  兜   |      64 |         0
  敏   |      64 |         0
  馥   |      64 |         0
  聾   |      64 |         4
  廁   |      64 |         0
  僞   |      64 |         0
  央   |      63 |       334
  忽   |      63 |       173
  虎   |      63 |        63
  闡   |      63 |       208
  鳴   |      63 |       108
  摧   |      63 |       399
  刺   |      63 |         0
  屠   |      63 |         0
  迫   |      63 |         0
  訊   |      63 |        61
  吉   |      63 |         0
  昏   |      63 |         0
  辱   |      63 |       146
  雹   |      63 |         0
  暢   |      63 |        61
  厥   |      63 |         0
  懃   |      63 |       143
  怛   |      63 |       188
  擇   |      63 |       236
  草   |      63 |       223
  豪   |      63 |        43
  舩   |      62 |       145
  駕   |      62 |         0
  訓   |      62 |       100
  責   |      62 |       148
  消   |      62 |         0
  奮   |      62 |       309
  卷   |      62 |       779
  待   |      62 |        47
  篋   |      62 |         0
  活   |      62 |       102
  殺   |      62 |       558
  仁   |      62 |      1012
  你   |      62 |         0
  崙   |      62 |        33
  冠   |      62 |       157
  翼   |      62 |       347
  磨   |      62 |       171
  懅   |      62 |         0
  浪   |      62 |         0
  且   |      61 |       236
  飯   |      61 |         0
  舒   |      61 |         0
  倉   |      61 |         0
  戊   |      61 |         0
  霧   |      61 |         0
  癰   |      61 |         0
  昇   |      61 |        80
  闐   |      61 |         0
  政   |      61 |         0
  黃   |      61 |       242
  占   |      61 |         0
  豆   |      61 |         0
  犂   |      61 |        32
  辰   |      61 |         0
  誹   |      61 |       168
  船   |      60 |         0
  訾   |      60 |         0
  孝   |      60 |         0
  宮   |      60 |       843
  賓   |      60 |         0
  蘭   |      60 |         0
  頃   |      60 |       152
  籌   |      60 |         1
  耀   |      60 |       143
  飄   |      60 |         0
  半   |      60 |       169
  諮   |      60 |       147
  蠱   |      60 |         0
  弊   |      60 |       159
  博   |      60 |       242
  捺   |      60 |         0
  肉   |      60 |       645
  圖   |      60 |         0
  奸   |      60 |         0
  躁   |      60 |         0
  傲   |      60 |         0
  熙   |      60 |         0
  漿   |      59 |         0
  疵   |      59 |         0
  紛   |      59 |         0
  涉   |      59 |         0
  玄   |      59 |         0
  忻   |      59 |         0
  工   |      59 |        65
  疲   |      59 |         0
  姊   |      59 |        53
  戾   |      59 |         0
  髻   |      59 |        26
  曹   |      59 |        27
  斬   |      59 |         0
  看   |      59 |         0
  什   |      59 |         0
  誼   |      59 |       129
  賖   |      59 |         0
  楞   |      59 |       233
  脩   |      59 |        20
  戮   |      58 |         0
  祀   |      58 |         0
