算法标注的字图片统计如下：
range_0_85_to_0_90：表示accuracy在[0.85,0.90)区间的个数
range_0_90_to_0_95：表示accuracy在[0.90,0.95)区间的个数
range_0_95_to_1：表示accuracy在[0.95,1]区间的个数

 char  | range_0_85_to_0_90 | range_0_90_to_0_95 | range_0_95_to_1 
  留   |                 46 |                112 |             327
  辭   |                 90 |                133 |             327
  挍   |                  1 |                 14 |             325
  面   |                431 |                843 |             321
  壽   |                977 |               1113 |             320
  開   |                792 |               1051 |             309
  罣   |                  3 |                 13 |             309
  投   |                  2 |                  2 |             306
  倒   |                426 |                768 |             305
  延   |                112 |                135 |             304
  茶   |                  0 |                  3 |             303
  乏   |                 16 |                 42 |             301
  諷   |                  1 |                  5 |             301
  累   |                  2 |                  2 |             292
  惜   |                 47 |                 88 |             291
  陽   |                  0 |                  1 |             290
  牢   |                  0 |                  1 |             282
  訟   |                  1 |                  3 |             281
  遂   |                  0 |                  0 |             281
  博   |                  7 |                 16 |             279
  且   |                  4 |                 15 |             278
  痒   |                 37 |                 98 |             271
  懼   |                 39 |                106 |             269
  擇   |                 12 |                 18 |             269
  呼   |                 34 |                 69 |             269
  骨   |                 67 |                147 |             264
  惠   |                 46 |                103 |             263
  鹿   |                  0 |                  1 |             262
  臂   |                  7 |                 12 |             261
  悕   |                  2 |                  1 |             260
  臾   |                  2 |                  5 |             260
  油   |                  0 |                  0 |             258
  懺   |                  0 |                  1 |             258
  氏   |                  4 |                  9 |             257
  傷   |                 40 |                 86 |             257
  臭   |                  6 |                  8 |             254
  維   |                 39 |                 42 |             252
  廢   |                  8 |                 22 |             249
  敢   |                 25 |                 34 |             249
  順   |                765 |                916 |             248
  莖   |                  4 |                  3 |             245
  尋   |                316 |                526 |             242
  鈍   |                  2 |                  3 |             240
  暴   |                  0 |                  0 |             237
  卿   |                  1 |                  4 |             232
  權   |                  0 |                  3 |             232
  盜   |                  3 |                 12 |             231
  潤   |                 21 |                 72 |             231
  慚   |                 99 |                121 |             231
  袈   |                  9 |                 17 |             229
  紫   |                  3 |                  6 |             228
  申   |                  3 |                  4 |             225
  伺   |                 15 |                 31 |             225
  楞   |                 10 |                 61 |             221
  遭   |                  0 |                  3 |             220
  愧   |                 57 |                136 |             220
  糧   |                 12 |                 17 |             215
